i   p0                  p1                  q0                  q1                  p                   
2   -1.000000000        1.000000000         -11.626822157       0.903790087         0.855746859         
3   -1.000000000        0.855746859         -11.626822157       0.842081823         0.730419829         
4   -1.000000000        0.730419829         -11.626822157       0.799118652         0.619135639         
5   -1.000000000        0.619135639         -11.626822157       0.749211649         0.521117542         
6   -1.000000000        0.521117542         -11.626822157       0.682362986         0.436793982         
7   -1.000000000        0.436793982         -11.626822157       0.598668483         0.366435802         
8   -1.000000000        0.366435802         -11.626822157       0.504800357         0.309578009         
9   -1.000000000        0.309578009         -11.626822157       0.409909313         0.264980502         
10  -1.000000000        0.264980502         -11.626822157       0.322018149         0.230889605         
11  -1.000000000        0.230889605         -11.626822157       0.246124790         0.205373409         
12  -1.000000000        0.205373409         -11.626822157       0.184066134         0.186588334         
13  -1.000000000        0.186588334         -11.626822157       0.135372977         0.172931700         
14  -1.000000000        0.172931700         -11.626822157       0.098321966         0.163096004         
15  -1.000000000        0.163096004         -11.626822157       0.070756525         0.156060648         
16  -1.000000000        0.156060648         -11.626822157       0.050579596         0.151053277         
17  -1.000000000        0.151053277         -11.626822157       0.035982605         0.147501996         
18  -1.000000000        0.147501996         -11.626822157       0.025510269         0.144989788         
19  -1.000000000        0.144989788         -11.626822157       0.018041570         0.143215837         
20  -1.000000000        0.143215837         -11.626822157       0.012737377         0.141964796         
21  -1.000000000        0.141964796         -11.626822157       0.008981580         0.141083323         
22  -1.000000000        0.141083323         -11.626822157       0.006327751         0.140462641         
23  -1.000000000        0.140462641         -11.626822157       0.004455338         0.140025788         
24  -1.000000000        0.140025788         -11.626822157       0.003135633         0.139718418         
25  -1.000000000        0.139718418         -11.626822157       0.002206166         0.139502200         
26  -1.000000000        0.139502200         -11.626822157       0.001551881         0.139350126         
27  -1.000000000        0.139350126         -11.626822157       0.001091475         0.139243179         
28  -1.000000000        0.139243179         -11.626822157       0.000767579         0.139167974         
29  -1.000000000        0.139167974         -11.626822157       0.000539759         0.139115092         
30  -1.000000000        0.139115092         -11.626822157       0.000379537         0.139077908         
31  -1.000000000        0.139077908         -11.626822157       0.000266866         0.139051764         
32  -1.000000000        0.139051764         -11.626822157       0.000187638         0.139033382         
33  -1.000000000        0.139033382         -11.626822157       0.000131929         0.139020458         
34  -1.000000000        0.139020458         -11.626822157       0.000092759         0.139011371         
35  -1.000000000        0.139011371         -11.626822157       0.000065217         0.139004982         
36  -1.000000000        0.139004982         -11.626822157       0.000045853         0.139000490         
37  -1.000000000        0.139000490         -11.626822157       0.000032239         0.138997332         
38  -1.000000000        0.138997332         -11.626822157       0.000022666         0.138995111         
39  -1.000000000        0.138995111         -11.626822157       0.000015936         0.138993550         
40  -1.000000000        0.138993550         -11.626822157       0.000011204         0.138992452         
41  -1.000000000        0.138992452         -11.626822157       0.000007877         0.138991681         
42  -1.000000000        0.138991681         -11.626822157       0.000005538         0.138991138         
43  -1.000000000        0.138991138         -11.626822157       0.000003894         0.138990757         
44  -1.000000000        0.138990757         -11.626822157       0.000002738         0.138990489         
45  -1.000000000        0.138990489         -11.626822157       0.000001925         0.138990300         
46  -1.000000000        0.138990300         -11.626822157       0.000001353         0.138990167         
47  -1.000000000        0.138990167         -11.626822157       0.000000951         0.138990074         
48  -1.000000000        0.138990074         -11.626822157       0.000000669         0.138990009         
49  -1.000000000        0.138990009         -11.626822157       0.000000470         0.138989963         
50  -1.000000000        0.138989963         -11.626822157       0.000000331         0.138989930         
51  -1.000000000        0.138989930         -11.626822157       0.000000232         0.138989907         
52  -1.000000000        0.138989907         -11.626822157       0.000000163         0.138989891         
53  -1.000000000        0.138989891         -11.626822157       0.000000115         0.138989880         
54  -1.000000000        0.138989880         -11.626822157       0.000000081         0.138989872         
55  -1.000000000        0.138989872         -11.626822157       0.000000057         0.138989867         
56  -1.000000000        0.138989867         -11.626822157       0.000000040         0.138989863         
57  -1.000000000        0.138989863         -11.626822157       0.000000028         0.138989860         
58  -1.000000000        0.138989860         -11.626822157       0.000000020         0.138989858         
59  -1.000000000        0.138989858         -11.626822157       0.000000014         0.138989857         
60  -1.000000000        0.138989857         -11.626822157       0.000000010         0.138989856         

i   p0                  p1                  q0                  q1                  p                   
2   -1.000000000        1.000000000         -11.626822157       0.903790087         0.855746859         
3   1.000000000         0.855746859         0.903790087         0.842081823         -1.112756863        
4   0.855746859         -1.112756863        0.842081823         -14.020564364       0.744216168         
5   -1.112756863        0.744216168         -14.020564364       0.804150323         0.643486711         
6   0.744216168         0.643486711         0.804150323         0.761976196         -1.176431179        
7   0.643486711         -1.176431179        0.761976196         -15.500789714       0.558216215         
8   -1.176431179        0.558216215         -15.500789714       0.710964507         0.482143465         
9   0.558216215         0.482143465         0.710964507         0.647173972         -0.289637231        
10  0.482143465         -0.289637231        0.647173972         -2.195824190        0.306456971         
11  -0.289637231        0.306456971         -2.195824190        0.404159145         0.213796022         
12  0.306456971         0.213796022         0.404159145         0.205063122         0.118357935         
13  0.213796022         0.118357935         0.205063122         -0.064266069        0.141130924         
14  0.118357935         0.141130924         -0.064266069        0.006471222         0.139047595         
15  0.141130924         0.139047595         0.006471222         0.000175003         0.138989689         
16  0.139047595         0.138989689         0.000175003         -0.000000498        0.138989853         
17  0.138989689         0.138989853         -0.000000498        0.000000000         0.138989853         
